Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Biomass Availability,Energy Storage Capacity,Energy Efficiency Programs
USA,2011,Solar,85404.69003,5549.794323,5604124938,1064007213,1.77528E+14,369654.6442,93087.1982,13413.18474,294399.3779,756878,30.26799917,367.5656833,0
Australia,2008,Geothermal,22205.06938,43211.5938,636188589.2,1033255852,6.43537E+13,771781.6363,1752.536054,78493.98221,826531.6783,945074,36.03694545,556.5560327,1
Canada,2013,Biomass,94102.73204,6139.117212,6158679594,14895124,1.56793E+14,342707.1529,65146.5925,41114.87219,43695.24019,588423,54.59594824,30.9864306,1
Japan,2010,Biomass,88771.93291,40323.63926,8526116428,1448827283,1.35046E+14,498839.5743,50257.59101,42010.47594,840378.7967,11049,45.27613429,592.9484156,1
China,2018,Solar,93288.40858,30755.40306,5086237221,1499494307,8.67796E+13,819064.3628,63101.39556,17912.96194,162034.2543,225191,93.72979603,933.7387958,0
India,2014,Wind,90483.64716,28526.81641,9359773764,796046057,1.20109E+13,363527.6978,81737.60005,79121.26501,132562.7863,816485,78.7585086,940.6148654,1
Germany,2014,Wind,5656.90599,20658.70473,7703453579,926881425,1.10481E+14,997437.3357,95825.29211,38129.25879,695687.1214,708461,32.29548661,924.6297211,0
Germany,2016,Biomass,63308.32777,47740.69969,2808873173,518729600,2.71119E+13,228249.1337,28094.8297,93865.63561,85869.94341,354460,36.68772532,48.38558073,0
Japan,2015,Biomass,70560.47106,37648.71897,9095394363,104974272,6.08862E+13,121449.8361,61009.67437,26814.90515,833178.3576,339831,26.05564728,386.5403264,0
Canada,2002,Wind,57780.09975,22408.24192,2810623524,1304327983,7.97934E+13,364330.104,32170.71827,54550.20269,146833.0751,938728,15.13697223,966.1894263,0
Australia,2020,Hydro,3386.115429,39711.89794,3891812730,902409611,6.53414E+13,113964.3583,22082.90283,42793.31453,131626.6994,18034,0.840787692,373.5097779,1
France,2015,Biomass,35747.14937,11408.68573,9918204883,551826175,6.895E+13,746144.5281,39447.16216,3493.864321,232158.034,436217,76.95521098,408.8579909,1
Japan,2003,Solar,37917.34062,25327.81972,2183215454,764933521,2.59562E+13,783683.4257,74787.85219,22775.01321,355712.5506,925420,62.46540616,790.7222918,1
Brazil,2004,Geothermal,92392.05433,1451.957737,2450100983,431084272,9.58947E+13,228345.0277,44923.94584,43814.59765,815109.1193,460132,21.6402829,460.777393,0
China,2019,Solar,78755.09375,36288.85625,5635218482,979747287,1.32604E+14,361977.0277,75840.36556,31535.5804,858104.3245,942579,94.12568836,164.2807177,1
Japan,2003,Wind,9627.661809,49361.19184,7899902429,1044627974,7.72791E+13,276418.2644,35864.96674,31746.77298,968724.0604,137272,45.16770331,12.19755719,1
India,2010,Wind,91946.6149,46526.03502,2979264243,819890449,1.24421E+14,883549.121,72708.25005,96055.22676,437529.79,103788,49.03585142,863.9573758,1
Canada,2014,Geothermal,80750.68344,39027.34455,9925332815,116459754,2.84714E+13,350075.8843,70974.1711,61243.21811,374325.0996,824313,57.28778535,795.0680472,1
Canada,2013,Biomass,98397.81492,16191.48609,1783535398,1205275849,1.96439E+14,7977.214013,2176.657191,46554.80474,111308.6535,970573,52.33051765,640.0559585,0
Canada,2007,Solar,20322.54444,10828.34122,4639469254,1040200869,1.5136E+14,988690.2203,17157.93101,10527.26566,112176.2579,230374,0.817792587,885.0460784,1
Russia,2013,Solar,7323.636888,5827.461109,1731276894,255134878,1.68115E+14,295626.6886,64711.21279,19780.11825,215858.4587,855186,69.38685507,5.277629361,1
India,2004,Wind,6542.685311,28501.2871,9180527158,531406015,6.87187E+13,278368.4634,20948.17896,75842.92072,758468.8909,454865,20.53801902,481.9929249,1
Germany,2019,Geothermal,17502.1398,26502.99425,408490766.7,189017849,2.74606E+13,32557.91541,10745.38388,16792.26197,170377.0514,258425,96.65212472,499.4799412,0
Japan,2023,Hydro,14777.08888,28986.54224,1316801465,898948417,1.12776E+14,240448.872,54523.65521,35630.66204,991128.8351,599552,64.39067133,277.7125953,0
France,2019,Solar,28474.75934,24303.2309,21020901.66,620172080,2.02132E+13,495218.3525,25933.88969,19803.59162,547101.9222,991941,60.4472497,903.5054969,0
Germany,2002,Wind,3515.84855,26439.04324,5976202997,1141999257,1.853E+14,643774.8059,11828.47822,48644.04347,328861.0607,556509,53.07132116,922.4013732,0
France,2008,Biomass,1072.712469,7822.081651,8371581377,934790960,1.65524E+14,931958.5181,61877.45137,87793.37707,676454.4529,921555,41.17856726,376.9631483,0
France,2014,Solar,43969.67653,15713.42056,6996068074,197990713,6.58207E+13,671660.5537,55431.61701,64905.94353,114813.2005,587650,22.99341402,650.6890676,0
Brazil,2010,Solar,39491.78696,14223.86095,1472171372,636023248,9.00402E+12,290910.8883,94385.89588,45123.84516,369447.5625,884874,72.3037174,300.6558597,1
Germany,2007,Wind,35102.80525,17363.98591,5124903676,810530992,1.17271E+14,445969.3023,50496.65967,24314.12432,965260.3146,896954,90.633345,213.2713884,1
India,2021,Wind,75015.10933,21087.56372,4916894562,613191835,5.70951E+13,85751.93627,56360.57032,80690.39385,256029.4746,851675,32.03293021,697.4560801,1
USA,2005,Wind,55487.02241,13187.61668,4972807916,710170825,1.16072E+14,985035.7101,48007.2752,40046.29202,684123.8411,521931,46.94724998,409.9955701,1
France,2010,Geothermal,62387.57055,21564.61795,7535222387,1337802427,7.25716E+12,67563.88538,32121.44838,94099.33553,217082.0336,529241,10.99862733,765.8771689,1
Russia,2020,Hydro,54157.62707,412.7012683,6394575201,188910945,1.15366E+14,140334.6542,44736.9621,11785.07281,912903.2484,220529,77.08179972,289.9848395,1
Russia,2010,Biomass,3204.979523,24196.75158,5061422754,1075716108,9.45498E+13,723871.3862,71006.09732,61336.41603,932965.6165,303989,31.42188622,85.26190869,1
Japan,2022,Hydro,47146.18836,29106.28817,8045717983,762402801,1.45906E+14,894909.7572,33238.82476,93759.14157,19800.921,567964,86.3680961,743.5547312,0
France,2001,Geothermal,84294.04136,26925.03355,3776283774,183874120,1.85504E+14,369685.2647,53604.99674,99899.96823,29061.62662,249779,68.82829174,604.4695304,1
Germany,2003,Solar,73627.87666,41479.83227,1217189974,842131261,5.20523E+13,15915.9018,69698.5373,72685.70196,366829.6133,268866,28.39926944,665.6099867,0
Germany,2017,Biomass,55637.02061,28651.92192,4673581581,481418144,1.25005E+14,638360.5637,53694.05884,41214.56368,794512.4153,956625,22.43540096,235.812513,1
USA,2006,Hydro,21195.90664,34520.49061,9333387383,51710882,2.80263E+13,82210.08254,49193.29124,98780.53386,379652.2445,615749,88.0054933,435.7041406,0
Australia,2009,Solar,40218.0112,42993.53095,338009756.2,282116949,7.42323E+13,267479.7139,5273.546284,80333.19339,695121.1327,526963,77.92932257,773.8561475,1
France,2005,Geothermal,86174.00682,40042.60571,3765310092,1002285207,1.8671E+14,36342.77955,87027.49847,52170.94662,492200.9671,679953,82.14962501,372.8325852,0
Russia,2009,Wind,19652.01854,4580.207604,5799602397,1480116352,2.2524E+13,473519.2944,78195.74443,17116.25953,345594.6836,618069,87.97507573,165.2620007,0
Brazil,2017,Geothermal,13680.98799,1494.780339,8076873411,1097252814,7.97747E+13,669437.3586,36364.14449,45999.26659,353261.7897,479946,61.57076611,533.9791074,0
Russia,2002,Solar,92232.75986,13825.92306,483774920.4,956822416,1.60151E+14,557054.7409,69162.79561,41953.2833,644875.8226,172535,50.28989859,199.0619385,1
Brazil,2007,Geothermal,75518.88579,44242.36803,8424385584,850214259,5.66329E+12,568401.3363,58686.19702,29716.37476,561938.1894,921467,20.7487195,244.3423982,0
Japan,2022,Biomass,63005.16927,25563.84136,9104672097,1347133105,5.24136E+13,871439.1168,33247.80102,28057.13859,273959.5205,117482,60.69602523,678.5057087,1
Japan,2007,Geothermal,52535.54393,821.3431093,147464154.7,645225740,9.51754E+13,95573.25547,85730.33889,90780.32415,325673.5629,161858,67.00897132,525.1373575,0
Germany,2022,Biomass,3639.198578,10897.74662,1399573623,305996686,8.0905E+13,280783.7694,12943.43762,41514.65137,254640.8688,542398,69.19433693,416.7196426,1
France,2021,Solar,15874.36879,37065.21953,9695986803,141868711,2.99202E+13,362843.4634,21913.43086,52043.30395,495040.017,49980,55.43266508,414.7662309,0
Brazil,2012,Wind,49778.1638,15586.83865,1196236036,11950560,8.27477E+13,156485.6102,67770.20169,6608.348054,993987.8141,947071,2.113794544,760.0309378,1
France,2018,Hydro,25983.44224,35714.77882,2627041960,980235263,1.4614E+14,745572.783,30133.02101,8963.667534,891317.2293,352081,73.52916934,94.47971734,1
USA,2014,Wind,10964.76879,18139.55912,1066270663,1292204876,1.84675E+13,267626.7807,64471.76074,61961.86094,988439.4753,104091,10.37456483,463.9979814,0
Russia,2009,Wind,39181.96382,12590.36658,4905855152,1469192168,1.5627E+14,57761.60173,39731.68492,19596.55911,433430.6478,363396,74.7630886,722.3954552,0
France,2003,Biomass,99181.00136,14391.28585,1322930048,846176320,1.68318E+14,36329.8235,13960.78105,77046.05922,313250.7528,448306,7.967033788,920.3662642,1
Australia,2011,Hydro,73276.90216,4324.06064,1638287454,284768221,1.29303E+14,972971.5008,64497.42487,58469.17276,867504.0121,312699,96.04427889,636.2140684,1
Australia,2014,Hydro,11187.96725,34968.16407,1187775824,440312197,7.9571E+13,347820.3327,68342.46573,46598.71756,754759.8665,690794,19.9613213,26.2703155,0
USA,2016,Hydro,71690.955,45631.25892,6479176301,643635950,6.84891E+12,564800.0754,55904.69216,79899.07189,310901.4298,450978,22.9226997,960.6044678,1
India,2015,Wind,86555.55192,19311.89041,9208688756,1280046658,3.93269E+13,254296.0904,60371.75125,91750.2756,340001.6627,958575,0.375547184,509.4451825,0
France,2004,Hydro,80487.30194,33914.56971,9160522707,311500435,8.35817E+13,268929.877,20612.26956,33487.34396,28332.65576,991790,67.51067885,195.0970547,0
Australia,2020,Biomass,64826.37821,46372.79941,413571722.8,1385620520,1.7597E+14,130053.6332,1321.454431,57173.51782,978615.5018,742292,92.19139116,421.4589447,0
China,2007,Biomass,63615.01976,6212.681246,5418016851,692277040,1.96724E+14,139758.7574,90131.43324,32840.76648,422558.2146,834135,28.79060899,757.6324729,1
France,2022,Geothermal,99171.15372,16288.04176,5602457175,1143305886,7.35025E+13,205209.3876,90858.40801,94133.26169,736994.0864,735536,47.84718257,37.7766444,1
Germany,2009,Hydro,92906.9786,41626.23335,3400169256,1368116962,8.4889E+13,840740.1419,94688.97107,21272.52796,737838.7304,673544,17.46543052,487.7400897,1
India,2013,Hydro,5966.455418,5377.633338,1191721855,577736923,1.84836E+14,336166.3224,99652.6511,36802.78068,270049.5048,313190,20.4958283,356.7966952,1
Russia,2012,Biomass,1789.222324,22375.50502,3756252043,1117734468,8.18677E+13,378391.4143,94322.16801,24006.29889,718195.1362,705459,23.44238863,524.644525,0
Germany,2009,Wind,83761.87845,1229.637304,365455333,243157026,7.16455E+13,685141.8077,53110.8207,52593.75123,511305.3695,836389,54.51315504,546.0386541,1
Brazil,2001,Wind,56404.93003,19590.35743,6949496693,388558675,9.53915E+12,669759.05,81420.97208,36201.78164,538398.6662,185446,45.07276792,113.7704877,0
India,2017,Hydro,55128.58767,45709.32954,2920578934,815669253,1.1607E+14,485639.4091,97410.35925,92756.90965,19266.65484,511557,1.524097095,825.2792986,0
India,2008,Solar,86177.44392,34735.34403,3874827344,1283302318,8.77586E+13,448254.1167,25472.08364,79224.69024,564623.8956,565655,6.334502924,101.7906304,1
Canada,2014,Biomass,6453.090665,16913.69224,7292534733,193006091,1.78694E+14,699292.6607,25856.8861,81679.3559,870283.0989,939417,5.333000489,972.2851274,0
Russia,2018,Geothermal,49227.71418,22628.28495,6759448263,342819247,1.63245E+14,425957.0924,33286.00092,24952.07742,546289.0107,229468,73.35963028,23.83649896,1
Russia,2021,Biomass,65570.88821,18841.21388,9373341207,397955173,7.64036E+13,933084.3844,29461.92814,82144.65961,708720.8538,663103,41.99809048,953.7944592,0
China,2001,Wind,20257.89844,25029.88875,3698334280,757105006,9.89944E+13,117603.425,33435.39632,67617.43495,407025.309,635109,65.64976495,961.9883242,1
Canada,2002,Geothermal,96663.09315,28077.80322,494425759.4,21900328,1.1791E+14,143007.3594,39288.27013,11362.93568,518965.6068,826255,30.82950267,259.4181535,0
France,2023,Geothermal,72358.09527,18049.02409,7751321376,350404495,6.22904E+11,616900.1787,64122.29922,63675.20279,462873.8013,602539,82.57606795,178.4929414,0
India,2012,Wind,25423.05409,46536.88902,2005033694,1014131977,1.91261E+14,389885.0629,30164.66492,49985.04315,355591.8404,42127,48.8841016,638.0744275,1
Canada,2001,Geothermal,51201.05681,882.9663127,7204146023,1300976836,3.98643E+13,99466.53123,61138.45104,28658.75954,624846.6037,625790,61.37162213,527.2894861,0
India,2001,Biomass,19781.79868,43246.77955,3276653341,21493495,1.47563E+13,287668.829,76584.61203,84545.15231,104238.2625,138014,60.07208409,333.3277206,0
Brazil,2006,Geothermal,93695.63906,48813.41957,4512530779,1047607305,1.31054E+14,482295.7749,33049.07293,65772.71137,565741.5438,407162,9.016718791,606.422296,1
Russia,2018,Geothermal,44800.79343,6223.278307,8207235171,1268070421,4.58672E+13,918905.6573,41613.10643,7198.873192,808379.951,874544,59.21880217,340.6018616,0
Brazil,2023,Hydro,90384.32863,31847.37115,1682133513,1030303945,1.35893E+14,759581.9693,55846.11813,52750.61312,346001.9614,349738,77.84970351,521.145665,1
Canada,2018,Hydro,98141.44098,34543.01183,2525496222,303202701,1.62956E+13,155673.3968,37635.97245,55949.55869,720769.6153,391958,82.52802278,1.047365664,1
Germany,2003,Hydro,48707.46612,31814.44537,2208248586,534644098,1.48683E+14,784278.7443,4572.436511,5377.254424,918144.2216,162155,43.03612715,735.0613416,1
